date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:15:38	13424/13424	---M--	200	added ('OK')	application/x-javascript	date:Mon,%2006%20Feb%202023%2018:59:16%20GMT	https://comunidademonster.online/presell1/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.0	C:/Users/duard/Downloads/HACK%20MINES%2020/DFDSDF/comunidademonster.online/presell1/wp-includes/js/jquery/jquery-migrate.min6b00.js	(from https://comunidademonster.online/presell1/mines/?gclid=EAIaIQobChMIhK3JlJLGgAMVDFKRCh3eHwk_EAAYASAAEgKZL_D_BwE)
21:15:39	1317/1317	---M--	200	added ('OK')	application/x-javascript	date:Mon,%2012%20Jun%202023%2013:35:15%20GMT	https://comunidademonster.online/presell1/wp-content/plugins/pixelyoursite/dist/scripts/jquery.bind-first-0.2.3.min.js?ver=6.2.2	C:/Users/duard/Downloads/HACK%20MINES%2020/DFDSDF/comunidademonster.online/presell1/wp-content/plugins/pixelyoursite/dist/scripts/jquery.bind-first-0.2.3.min3781.js	(from https://comunidademonster.online/presell1/mines/?gclid=EAIaIQobChMIhK3JlJLGgAMVDFKRCh3eHwk_EAAYASAAEgKZL_D_BwE)
21:15:39	1709/1709	---M--	200	added ('OK')	application/x-javascript	date:Mon,%2012%20Jun%202023%2013:35:15%20GMT	https://comunidademonster.online/presell1/wp-content/plugins/pixelyoursite/dist/scripts/js.cookie-2.1.3.min.js?ver=2.1.3	C:/Users/duard/Downloads/HACK%20MINES%2020/DFDSDF/comunidademonster.online/presell1/wp-content/plugins/pixelyoursite/dist/scripts/js.cookie-2.1.3.min4c71.js	(from https://comunidademonster.online/presell1/mines/?gclid=EAIaIQobChMIhK3JlJLGgAMVDFKRCh3eHwk_EAAYASAAEgKZL_D_BwE)
21:15:39	103990/103990	---M--	200	added ('OK')	application/x-javascript	date:Mon,%2012%20Jun%202023%2013:35:15%20GMT	https://comunidademonster.online/presell1/wp-content/plugins/pixelyoursite/dist/scripts/public.js?ver=9.3.8.1	C:/Users/duard/Downloads/HACK%20MINES%2020/DFDSDF/comunidademonster.online/presell1/wp-content/plugins/pixelyoursite/dist/scripts/publicbb57.js	(from https://comunidademonster.online/presell1/mines/?gclid=EAIaIQobChMIhK3JlJLGgAMVDFKRCh3eHwk_EAAYASAAEgKZL_D_BwE)
21:15:39	89476/89476	---M--	200	added ('OK')	text/javascript	date:Fri,%2008%20May%202020%2007:05:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.5.1/jquery.min.js	C:/Users/duard/Downloads/HACK%20MINES%2020/DFDSDF/ajax.googleapis.com/ajax/libs/jquery/3.5.1/jquery.min.js	(from https://comunidademonster.online/presell1/mines/?gclid=EAIaIQobChMIhK3JlJLGgAMVDFKRCh3eHwk_EAAYASAAEgKZL_D_BwE)
21:15:40	175736/175736	---M-Z	200	added ('OK')	application/x-javascript	date:Sun,%2006%20Aug%202023%2000:15:38%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/Users/duard/Downloads/HACK%20MINES%2020/DFDSDF/connect.facebook.net/en_US/fbevents.js	(from https://comunidademonster.online/presell1/mines/?gclid=EAIaIQobChMIhK3JlJLGgAMVDFKRCh3eHwk_EAAYASAAEgKZL_D_BwE)
21:15:40	62362/62362	---M-Z	200	added ('OK')	text/html	date:Sun,%2006%20Aug%202023%2000:15:37%20GMT	https://comunidademonster.online/presell1/mines/	C:/Users/duard/Downloads/HACK%20MINES%2020/DFDSDF/comunidademonster.online/presell1/mines/index.html	(from https://comunidademonster.online/presell1/mines/?gclid=EAIaIQobChMIhK3JlJLGgAMVDFKRCh3eHwk_EAAYASAAEgKZL_D_BwE)
21:15:40	71776/71776	---M--	200	added ('OK')	image/png	date:Tue,%2025%20Jul%202023%2000:28:18%20GMT	https://comunidademonster.online/presell1/wp-content/uploads/2023/07/headlinemines.png	C:/Users/duard/Downloads/HACK%20MINES%2020/DFDSDF/comunidademonster.online/presell1/wp-content/uploads/2023/07/headlinemines.png	(from https://comunidademonster.online/presell1/mines/?gclid=EAIaIQobChMIhK3JlJLGgAMVDFKRCh3eHwk_EAAYASAAEgKZL_D_BwE)
21:15:40	91687/91687	---M-Z	200	added ('OK')	application/javascript	etag:W/%2216627-rYQsBEefTmMRiyX52EbCMDkMEQc%22	https://cdn.jsdelivr.net/npm/notiflix@2.6.0/dist/notiflix-aio-2.6.0.min.js	C:/Users/duard/Downloads/HACK%20MINES%2020/DFDSDF/cdn.jsdelivr.net/npm/notiflix@2.6.0/dist/notiflix-aio-2.6.0.min.js	(from https://comunidademonster.online/presell1/mines/?gclid=EAIaIQobChMIhK3JlJLGgAMVDFKRCh3eHwk_EAAYASAAEgKZL_D_BwE)
21:15:41	18468/18468	---M--	200	added ('OK')	text/css	date:Fri,%2002%20Jun%202023%2016:16:30%20GMT	https://comunidademonster.online/presell1/wp-content/plugins/elementor/assets/lib/animations/animations.min.css?ver=3.13.4	C:/Users/duard/Downloads/HACK%20MINES%2020/DFDSDF/comunidademonster.online/presell1/wp-content/plugins/elementor/assets/lib/animations/animations.mina44d.css	(from https://comunidademonster.online/presell1/mines/?gclid=EAIaIQobChMIhK3JlJLGgAMVDFKRCh3eHwk_EAAYASAAEgKZL_D_BwE)
